año;trimestre;provincia;poblacion;;
2018;2;La Rioja;0,36;;
2018;2;Mendoza;1,79;;
2018;2;Misiones;1,09;;
2018;2;Neuquén;0,65;;
2018;2;Río Negro;0,73;;
2018;2;Salta;1,3;;
2018;2;San Juan;0,69;;
2018;2;San Luis;0,47;;
2018;2;Santa Cruz;0,27;;
2018;2;Santa Fe;3,44;;
2018;2;Santiago Del Estero;1,03;;
2018;2;Tierra Del Fuego;0,15;;
2018;2;Tucumán;1,56;;
2018;1;Buenos Aires;17,1;;
2018;1;Capital Federal;2,88;;
2018;1;Catamarca;0,37;;
2018;1;Chaco;1,14;;
2018;1;Chubut;0,57;;
2018;1;Córdoba;3,59;;
2018;1;Corrientes;1,1;;
2018;1;Entre Ríos;1,31;;
2018;1;Formosa;0,59;;
2018;1;Jujuy;0,76;;
2018;1;La Pampa;0,34;;
2018;1;La Rioja;0,36;;
2018;1;Mendoza;1,79;;
2018;1;Misiones;1,09;;
2018;1;Neuquén;0,65;;
2018;1;Río Negro;0,73;;
2018;1;Salta;1,3;;
2018;1;San Juan;0,69;;
2018;1;San Luis;0,47;;
2018;1;Santa Cruz;0,27;;
2018;1;Santa Fe;3,44;;
2018;1;Santiago Del Estero;1,03;;
2018;1;Tierra Del Fuego;0,15;;
2018;1;Tucumán;1,56;;
2017;4;Buenos Aires;16,97;;
2017;4;Capital Federal;2,87;;
2017;4;Catamarca;0,37;;
2017;4;Chaco;1,13;;
2017;4;Chubut;0,56;;
2017;4;Córdoba;3,55;;
2017;4;Corrientes;1,09;;
2017;4;Entre Ríos;1,3;;
2017;4;Formosa;0,58;;
2017;4;Jujuy;0,75;;
2017;4;La Pampa;0,34;;
2017;4;La Rioja;0,36;;
2017;4;Mendoza;1,78;;
2017;4;Misiones;1,08;;
2017;4;Neuquén;0,64;;
2017;4;Río Negro;0,72;;
2017;4;Salta;1,28;;
2017;4;San Juan;0,68;;
2017;4;San Luis;0,46;;
2017;4;Santa Cruz;0,27;;
2017;4;Santa Fe;3,4;;
2017;4;Santiago Del Estero;1,02;;
2017;4;Tierra Del Fuego;0,15;;
2017;4;Tucumán;1,54;;
2017;3;Buenos Aires;16,97;;
2017;3;Capital Federal;2,87;;
2017;3;Catamarca;0,37;;
2017;3;Chaco;1,13;;
2017;3;Chubut;0,56;;
2017;3;Córdoba;3,55;;
2017;3;Corrientes;1,09;;
2017;3;Entre Ríos;1,3;;
2017;3;Formosa;0,58;;
2017;3;Jujuy;0,75;;
2017;3;La Pampa;0,34;;
2017;3;La Rioja;0,36;;
2017;3;Mendoza;1,78;;
2017;3;Misiones;1,08;;
2017;3;Neuquén;0,64;;
2017;3;Río Negro;0,72;;
2017;3;Salta;1,28;;
2017;3;San Juan;0,68;;
2017;3;San Luis;0,46;;
2017;3;Santa Cruz;0,27;;
2017;3;Santa Fe;3,4;;
2017;3;Santiago Del Estero;1,02;;
2017;3;Tierra Del Fuego;0,15;;
2017;3;Tucumán;1,54;;
2017;2;Buenos Aires;16,97;;
2017;2;Capital Federal;2,87;;
2017;2;Catamarca;0,37;;
2017;2;Chaco;1,13;;
2017;2;Chubut;0,56;;
2017;2;Córdoba;3,55;;
2017;2;Corrientes;1,09;;
2017;2;Entre Ríos;1,3;;
2017;2;Formosa;0,58;;
2017;2;Jujuy;0,75;;
2017;2;La Pampa;0,34;;
2017;2;La Rioja;0,36;;
2017;2;Mendoza;1,78;;
2017;2;Misiones;1,08;;
2017;2;Neuquén;0,64;;
2017;2;Río Negro;0,72;;
2017;2;Salta;1,28;;
2017;2;San Juan;0,68;;
2017;2;San Luis;0,46;;
2017;2;Santa Cruz;0,27;;
2017;2;Santa Fe;3,4;;
2017;2;Santiago Del Estero;1,02;;
2017;2;Tierra Del Fuego;0,15;;
2017;2;Tucumán;1,54;;
2017;1;Buenos Aires;16,97;;
2017;1;Capital Federal;2,87;;
2017;1;Catamarca;0,37;;
2017;1;Chaco;1,13;;
2017;1;Chubut;0,56;;
2017;1;Córdoba;3,55;;
2017;1;Corrientes;1,09;;
2017;1;Entre Ríos;1,3;;
2017;1;Formosa;0,58;;
2017;1;Jujuy;0,75;;
2017;1;La Pampa;0,34;;
2017;1;La Rioja;0,36;;
2017;1;Mendoza;1,78;;
2017;1;Misiones;1,08;;
2017;1;Neuquén;0,64;;
2017;1;Río Negro;0,72;;
2017;1;Salta;1,28;;
2017;1;San Juan;0,68;;
2017;1;San Luis;0,46;;
2017;1;Santa Cruz;0,27;;
2017;1;Santa Fe;3,4;;
2017;1;Santiago Del Estero;1,02;;
2017;1;Tierra Del Fuego;0,15;;
2017;1;Tucumán;1,54;;
2016;4;Buenos Aires;16,84;;
2016;4;Capital Federal;2,87;;
2016;4;Catamarca;0,36;;
2016;4;Chaco;1,12;;
2016;4;Chubut;0,56;;
2016;4;Córdoba;3,52;;
2016;4;Corrientes;1,08;;
2016;4;Entre Ríos;1,29;;
2016;4;Formosa;0,58;;
2016;4;Jujuy;0,74;;
2016;4;La Pampa;0,33;;
2016;4;La Rioja;0,35;;
2016;4;Mendoza;1,76;;
2016;4;Misiones;1,07;;
2016;4;Neuquén;0,63;;
2016;4;Río Negro;0,71;;
2016;4;Salta;1,27;;
2016;4;San Juan;0,67;;
2016;4;San Luis;0,45;;
2016;4;Santa Cruz;0,26;;
2016;4;Santa Fe;3,37;;
2016;4;Santiago Del Estero;1,01;;
2016;4;Tierra Del Fuego;0,14;;
2016;4;Tucumán;1,52;;
2016;3;Buenos Aires;16,84;;
2016;3;Capital Federal;2,87;;
2016;3;Catamarca;0,36;;
2016;3;Chaco;1,12;;
2016;3;Chubut;0,56;;
2016;3;Córdoba;3,52;;
2016;3;Corrientes;1,08;;
2016;3;Entre Ríos;1,29;;
2016;3;Formosa;0,58;;
2016;3;Jujuy;0,74;;
2016;3;La Pampa;0,33;;
2016;3;La Rioja;0,35;;
2016;3;Mendoza;1,76;;
2016;3;Misiones;1,07;;
2016;3;Neuquén;0,63;;
2016;3;Río Negro;0,71;;
2016;3;Salta;1,27;;
2016;3;San Juan;0,67;;
2016;3;San Luis;0,45;;
2016;3;Santa Cruz;0,26;;
2016;3;Santa Fe;3,37;;
2016;3;Santiago Del Estero;1,01;;
2016;3;Tierra Del Fuego;0,14;;
2016;3;Tucumán;1,52;;
2016;2;Buenos Aires;16,84;;
2016;2;Capital Federal;2,87;;
2016;2;Catamarca;0,36;;
2016;2;Chaco;1,12;;
2016;2;Chubut;0,56;;
2016;2;Córdoba;3,52;;
2016;2;Corrientes;1,08;;
2016;2;Entre Ríos;1,29;;
2016;2;Formosa;0,58;;
2016;2;Jujuy;0,74;;
2016;2;La Pampa;0,33;;
2016;2;La Rioja;0,35;;
2016;2;Mendoza;1,76;;
2016;2;Misiones;1,07;;
2016;2;Neuquén;0,63;;
2016;2;Río Negro;0,71;;
2016;2;Salta;1,27;;
2016;2;San Juan;0,67;;
2016;2;San Luis;0,45;;
2016;2;Santa Cruz;0,26;;
2016;2;Santa Fe;3,37;;
2016;2;Santiago Del Estero;1,01;;
2016;2;Tierra Del Fuego;0,14;;
2016;2;Tucumán;1,52;;
2016;1;Buenos Aires;16,84;;
2016;1;Capital Federal;2,87;;
2016;1;Catamarca;0,36;;
2016;1;Chaco;1,12;;
2016;1;Chubut;0,56;;
2016;1;Córdoba;3,52;;
2016;1;Corrientes;1,08;;
2016;1;Entre Ríos;1,29;;
2016;1;Formosa;0,58;;
2016;1;Jujuy;0,74;;
2016;1;La Pampa;0,33;;
2016;1;La Rioja;0,35;;
2016;1;Mendoza;1,76;;
2016;1;Misiones;1,07;;
2016;1;Neuquén;0,63;;
2016;1;Río Negro;0,71;;
2016;1;Salta;1,27;;
2016;1;San Juan;0,67;;
2016;1;San Luis;0,45;;
2016;1;Santa Cruz;0,26;;
2016;1;Santa Fe;3,37;;
2016;1;Santiago Del Estero;1,01;;
2016;1;Tierra Del Fuego;0,14;;
2016;1;Tucumán;1,52;;
2015;4;Buenos Aires;16,72;;
2015;4;Capital Federal;2,89;;
2015;4;Catamarca;0,36;;
2015;4;Chaco;1,11;;
2015;4;Chubut;0,55;;
2015;4;Córdoba;3,49;;
2015;4;Corrientes;1,08;;
2015;4;Entre Ríos;1,28;;
2015;4;Formosa;0,58;;
2015;4;Jujuy;0,74;;
2015;4;La Pampa;0,33;;
2015;4;La Rioja;0,35;;
2015;4;Mendoza;1,75;;
2015;4;Misiones;1,06;;
2015;4;Neuquén;0,62;;
2015;4;Río Negro;0,7;;
2015;4;Salta;1,26;;
2015;4;San Juan;0,67;;
2015;4;San Luis;0,44;;
2015;4;Santa Cruz;0,26;;
2015;4;Santa Fe;3,34;;
2015;4;Santiago Del Estero;1,01;;
2015;4;Tierra Del Fuego;0,14;;
2015;4;Tucumán;1,5;;
2015;3;Buenos Aires;16,72;;
2015;3;Capital Federal;2,89;;
2015;3;Catamarca;0,36;;
2015;3;Chaco;1,11;;
2015;3;Chubut;0,55;;
2015;3;Córdoba;3,49;;
2015;3;Corrientes;1,08;;
2015;3;Entre Ríos;1,28;;
2015;3;Formosa;0,58;;
2015;3;Jujuy;0,74;;
2015;3;La Pampa;0,33;;
2015;3;La Rioja;0,35;;
2015;3;Mendoza;1,75;;
2015;3;Misiones;1,06;;
2015;3;Neuquén;0,62;;
2015;3;Río Negro;0,7;;
2015;3;Salta;1,26;;
2015;3;San Juan;0,67;;
2015;3;San Luis;0,44;;
2015;3;Santa Cruz;0,26;;
2015;3;Santa Fe;3,34;;
2015;3;Santiago Del Estero;1,01;;
2015;3;Tierra Del Fuego;0,14;;
2015;3;Tucumán;1,5;;
2015;2;Buenos Aires;16,72;;
2015;2;Capital Federal;2,89;;
2015;2;Catamarca;0,36;;
2015;2;Chaco;1,11;;
2015;2;Chubut;0,55;;
2015;2;Córdoba;3,49;;
2015;2;Corrientes;1,08;;
2015;2;Entre Ríos;1,28;;
2015;2;Formosa;0,58;;
2015;2;Jujuy;0,74;;
2015;2;La Pampa;0,33;;
2015;2;La Rioja;0,35;;
2015;2;Mendoza;1,75;;
2015;2;Misiones;1,06;;
2015;2;Neuquén;0,62;;
2015;2;Río Negro;0,7;;
2015;2;Salta;1,26;;
2015;2;San Juan;0,67;;
2015;2;San Luis;0,44;;
2015;2;Santa Cruz;0,26;;
2015;2;Santa Fe;3,34;;
2015;2;Santiago Del Estero;1,01;;
2015;2;Tierra Del Fuego;0,14;;
2015;2;Tucumán;1,5;;
2015;1;Buenos Aires;16,72;;
2015;1;Capital Federal;2,89;;
2015;1;Catamarca;0,36;;
2015;1;Chaco;1,11;;
2015;1;Chubut;0,55;;
2015;1;Córdoba;3,49;;
2015;1;Corrientes;1,08;;
2015;1;Entre Ríos;1,28;;
2015;1;Formosa;0,58;;
2015;1;Jujuy;0,74;;
2015;1;La Pampa;0,33;;
2015;1;La Rioja;0,35;;
2015;1;Mendoza;1,75;;
2015;1;Misiones;1,06;;
2015;1;Neuquén;0,62;;
2015;1;Río Negro;0,7;;
2015;1;Salta;1,26;;
2015;1;San Juan;0,67;;
2015;1;San Luis;0,44;;
2015;1;Santa Cruz;0,26;;
2015;1;Santa Fe;3,34;;
2015;1;Santiago Del Estero;1,01;;
2015;1;Tierra Del Fuego;0,14;;
2015;1;Tucumán;1,5;;
2014;4;Buenos Aires;16,6;;
2014;4;Capital Federal;2,88;;
2014;4;Catamarca;0,36;;
2014;4;Chaco;1,1;;
2014;4;Chubut;0,54;;
2014;4;Córdoba;3,46;;
2014;4;Corrientes;1,07;;
2014;4;Entre Ríos;1,27;;
2014;4;Formosa;0,57;;
2014;4;Jujuy;0,73;;
2014;4;La Pampa;0,33;;
2014;4;La Rioja;0,34;;
2014;4;Mendoza;1,74;;
2014;4;Misiones;1,05;;
2014;4;Neuquén;0,61;;
2014;4;Río Negro;0,69;;
2014;4;Salta;1,25;;
2014;4;San Juan;0,67;;
2014;4;San Luis;0,43;;
2014;4;Santa Cruz;0,26;;
2014;4;Santa Fe;3,31;;
2014;4;Santiago Del Estero;1;;
2014;4;Tierra Del Fuego;0,14;;
2014;4;Tucumán;1,48;;
2014;3;Buenos Aires;16,6;;
2014;3;Capital Federal;2,88;;
2014;3;Catamarca;0,36;;
2014;3;Chaco;1,1;;
2014;3;Chubut;0,54;;
2014;3;Córdoba;3,46;;
2014;3;Corrientes;1,07;;
2014;3;Entre Ríos;1,27;;
2014;3;Formosa;0,57;;
2014;3;Jujuy;0,73;;
2014;3;La Pampa;0,33;;
2014;3;La Rioja;0,34;;
2014;3;Mendoza;1,74;;
2014;3;Misiones;1,05;;
2014;3;Neuquén;0,61;;
2014;3;Río Negro;0,69;;
2014;3;Salta;1,25;;
2014;3;San Juan;0,67;;
2014;3;San Luis;0,43;;
2014;3;Santa Cruz;0,26;;
2014;3;Santa Fe;3,31;;
2014;3;Santiago Del Estero;1;;
2014;3;Tierra Del Fuego;0,14;;
2014;3;Tucumán;1,48;;
2014;2;Buenos Aires;16,6;;
2014;2;Capital Federal;2,88;;
2014;2;Catamarca;0,36;;
2014;2;Chaco;1,1;;
2014;2;Chubut;0,54;;
2014;2;Córdoba;3,46;;
2014;2;Corrientes;1,07;;
2014;2;Entre Ríos;1,27;;
2014;2;Formosa;0,57;;
2014;2;Jujuy;0,73;;
2014;2;La Pampa;0,33;;
2014;2;La Rioja;0,34;;
2014;2;Mendoza;1,74;;
2014;2;Misiones;1,05;;
2014;2;Neuquén;0,61;;
2014;2;Río Negro;0,69;;
2014;2;Salta;1,25;;
2014;2;San Juan;0,67;;
2014;2;San Luis;0,43;;
2014;2;Santa Cruz;0,26;;
2014;2;Santa Fe;3,31;;
2014;2;Santiago Del Estero;1;;
2014;2;Tierra Del Fuego;0,14;;
2014;2;Tucumán;1,48;;
2014;1;Buenos Aires;16,6;;
2014;1;Capital Federal;2,88;;
2014;1;Catamarca;0,36;;
2014;1;Chaco;1,1;;
2014;1;Chubut;0,54;;
2014;1;Córdoba;3,46;;
2014;1;Corrientes;1,07;;
2014;1;Entre Ríos;1,27;;
2014;1;Formosa;0,57;;
2014;1;Jujuy;0,73;;
2014;1;La Pampa;0,33;;
2014;1;La Rioja;0,34;;
2014;1;Mendoza;1,74;;
2014;1;Misiones;1,05;;
2014;1;Neuquén;0,61;;
2014;1;Río Negro;0,69;;
2014;1;Salta;1,25;;
2014;1;San Juan;0,67;;
2014;1;San Luis;0,43;;
2014;1;Santa Cruz;0,26;;
2014;1;Santa Fe;3,31;;
2014;1;Santiago Del Estero;1;;
2014;1;Tierra Del Fuego;0,14;;
2014;1;Tucumán;1,48;;
